,Danceability,Energy,Valence,Tempo,Song ID,Date Added
279,0.745,0.714,0.365,104.003,4bz7uB4edifWKJXSDxwHcs,2019-05-23
280,0.535,0.602,0.572,129.115,2MZ6iZEaHrMSgbxxwHHsDJ,2019-05-22
281,0.605,0.793,0.647,184.032,21ugcKQyclYBZvzmCXsZ9x,2019-05-21
282,0.754,0.824,0.613,116.978,53hNIcq8OLj9OUNvQ4ulFM,2019-05-20
283,0.762,0.739,0.852,110.002,0TyOpxlWwDx98bjkIVHUgY,2019-05-18
284,0.615,0.581,0.388,100.02,0b9KkFVuiKep5IH8O5O8OX,2019-05-14
285,0.771,0.662,0.603,177.916,5GoGjEsPvr0McJQiGGCnws,2019-05-11
286,0.541,0.986,0.484,96.954,4HqGWW8gtgvEDi8SHepdiO,2019-05-07
287,0.504,0.891,0.628,153.988,7clyJIrLkEbXUDwj1tC9zz,2019-05-02
288,0.832,0.69,0.596,130.411,5oNdTrafZ0joNCikz1Vdjd,2019-04-28
289,0.791,0.587,0.536,96.057,3Ol2xnObFdKV9pmRD2t9x8,2019-04-19
290,0.521,0.762,0.264,164.289,1HDaPtZuixue2q6VGNRdVO,2019-04-13
291,0.709,0.616,0.576,91.921,6kyhJvTKWQzlcYywNZRDsy,2019-04-11
292,0.51,0.835,0.435,140.024,11cDEev79fPKi6uJCjUhu8,2019-04-11
293,0.908,0.517,0.471,136.019,53CJANUxooaqGOtdsBTh7O,2019-04-05
